name,liv_id,owgr_id,pga_id
Oliver Bekker,10001,12819,31678
Richard Bland,10002,6516,45836
Laurie Canter,10003,14795,34362
Ratchanon Chantananuwat,10004,27275,liv_10004
Hennie Du Plessis,10005,19421,liv_10005
Oliver Fisher,10006,10863,28923
Sergio Garcia,10007,5689,21209
Talor Gooch,10008,18580,46402
Branden Grace,10009,11952,29974
Justin Harding,10010,10886,28938
Sam Horsfield,10011,19866,47989
Dustin Johnson,10012,12422,30925
Matt Jones,10013,8605,26300
Sadom Kaewkanjana,10014,19844,48018
Martin Kaymer,10015,8117,27408
Phachara Khongwatmai,10016,18149,47239
Sihwan Kim,10017,13307,32369
Ryosuke Kinoshita,10018,14904,34500
Chase Koepka,10019,21997,49773
Jinichiro Kozuma,10020,14209,33689
Pablo Larrazabal,10021,9133,29670
Graeme McDowell,10022,7548,25572
Jediah Morgan,10023,22738,51264
Kevin Na,10024,7452,25396
Shaun Norris,10025,7677,26328
Andy Ogletree,10026,27597,57944
Louis Oosthuizen,10027,7672,26329
Wade Ormsby,10028,7532,26341
Adrian Otaegui,10029,14975,34575
Turk Pettit,10030,28571,58849
James Piot,10031,29230,59164
Ian Poulter,10032,1435,24138
David Puig,10033,28984,61193
JC Ritchie,10034,18174,45847
Charl Schwartzel,10035,7398,26331
Hudson Swafford,10036,14706,34264
Hideto Tanihara,10037,7046,21498
Peter Uihlein,10038,11357,29484
Scott Vincent,10039,14559,34126
Lee Westwood,10040,4052,20396
Bernd Wiesberger,10041,9531,29454
Blake Windred,10042,19234,liv_10042
Phil Mickelson,10043,1547,01810
Itthipat Buranatanyarat,10044,16425,liv_10044
Viraj Madappa,10045,20882,liv_10045
Travis Smyth,10046,19232,47078
Ian Snyman,10047,26000,liv_10047
Kevin Yuan,10048,22668,51137
Abraham Ancer,10049,18238,45526
Bryson DeChambeau,10050,19841,47959
Yuki Inamori,10051,16165,36514
Brooks Koepka,10052,16243,36689
Pat Perez,10053,6762,24361
Patrick Reed,10054,14838,34360
Matthew Wolff,10055,25919,56278
Carlos Ortiz,10056,14735,33667
Eugenio Chacarra,10057,26745,57492
Paul Casey,10058,7108,25364
Charles Howell III,10059,6892,21961
Jason Kokrak,10060,12337,30944
Henrik Stenson,10061,5994,21528
Anirban Lahiri,10062,12669,31420
Cameron Smith,10063,15856,35891
Joaquin Niemann,10064,18079,45486
Harold Varner III,10065,16602,37189
Marc Leishman,10066,7649,26851
Cameron Tringale,10067,14013,33419
Shergo Al Kurdi,10068,23074,liv_10068
Bubba Watson,10069,7334,25804
Sebastian Munoz,10073,20770,48822
Mito Pereira,10074,19455,47529
Dean Burmester,10075,14424,33974
Danny Lee,10076,11826,29926
Brendan Steele,10077,11019,29518
Thomas Pieters,10078,13944,33293
Kieran Vincent,10079,19538,50000
Lee Chieh-po,10091,16563,37183
Jeongwoo Ham,10098,17872,46724
Taichi Kho,10107,24298,54299
Richard Lee,10113,5311,35139
Steve Lewton,10115,12838,31997
Luis Masaveu,10116,30428,64033
Ben Campbell,10137,14373,33921
Gunn Charoenkul,10139,14128,33605
Kalle Samooja,10141,14120,33568
David Horsey,10144,11230,30909
Suteepat Prateeptienchai,10146,21231,49562
Jon Rahm,10147,19195,46970
Tyrrell Hatton,10148,14796,34363
Caleb Surratt,10149,30463,64054
Lucas Herbert,10150,17064,39058
Anthony Kim,10151,11641,29718
Adrian Meronk,10152,14196,33674
John Catlin,10153,18524,45734
Jeunghun Wang,10170,15366,39958
Borja Virto,10200,17313,liv_10200
Max Rottluff,10201,19899,48052
Ollie Schniederjans,10204,18662,46501
Jack Buchanan,10215,27379,liv_10215
Daihan Lee,10220,17493,29314
Brett Coletta,10222,18177,45988
Soomin Lee,10225,14614,34168
Frederik Kjettrup,10229,24660,55077
Yubin Jang,10230,28276,liv_10230
Tom McKibbin,10231,22322,50823
Young-han Song,10232,16160,36521
Minkyu Kim,10233,20780,50323
Josele Ballester,10234,28473,60165
